Temperature,A1,B1,C1,D1,E1
60.3,1.1068475,0.9129387,1.0385444,0.91917706,0.722977
60.8,1.1044623,0.9184469,1.0439994,0.9257938,0.73610896
61.2,1.1403893,0.961158,1.0634472,0.92843395,0.7401307
61.6,1.1521841,0.969861,1.0815438,0.9589082,0.779646
61.8,1.2149389,0.9785345,1.0974991,0.95916057,0.78654283
62.1,1.2270346,0.990785,1.1083924,0.95795894,0.7956719
62.4,1.241635,1.0217892,1.1086524,0.9536079,0.79178673
62.6,1.2651635,1.0395838,1.1453354,0.97995645,0.80710816
62.8,1.2899094,1.040755,1.1586772,0.98520386,0.8071269
63.1,1.2800364,1.050854,1.1424903,0.9786542,0.82500196
63.4,1.2886438,1.0866677,1.1642895,0.9900639,0.8270305
63.6,1.2606279,1.0663031,1.1640688,0.9841099,0.81638837
63.9,1.2954129,1.0775532,1.1866041,0.98737645,0.82697946
64.1,1.2927985,1.0915518,1.1738532,0.9757412,0.831075
64.4,1.3147509,1.0985205,1.171241,0.98527944,0.8191891
64.7,1.3132966,1.0806888,1.1858767,0.97602695,0.81843567
64.9,1.296028,1.0827848,1.184865,0.9991355,0.8351969
65.2,1.3062702,1.1197572,1.1855258,0.97301936,0.8082797
65.5,1.3042254,1.1231563,1.186637,0.98408985,0.8212298
65.7,1.3359944,1.1055225,1.186236,0.9842552,0.8178076
66,1.2975903,1.0888172,1.1929659,0.97963935,0.7990545
66.3,1.3103215,1.1033095,1.1997212,0.97669315,0.7966218
66.5,1.2972412,1.1120075,1.1730547,0.9684248,0.8103253
66.8,1.2909713,1.0967016,1.1763059,0.9614784,0.80153626
67.1,1.3097146,1.1086882,1.1920276,0.9750301,0.7759659
67.3,1.2789015,1.1081367,1.2087365,0.95141083,0.7680784
67.6,1.2986292,1.1183182,1.186039,0.9561438,0.7859074
67.9,1.3039721,1.0927293,1.1735452,0.95817405,0.77601373
68.1,1.2789757,1.0943202,1.1838596,0.96263725,0.76370883
68.4,1.2637218,1.0923629,1.1517817,0.95520914,0.75378513
68.6,1.2713886,1.0905753,1.17336,0.93195164,0.74934596
68.9,1.27464,1.0769535,1.1573904,0.9481032,0.75540936
69.2,1.2473546,1.0857222,1.1469258,0.9513245,0.7417484
69.4,1.2777334,1.0761802,1.1565138,0.92571723,0.7386442
69.7,1.2377937,1.0571878,1.1419168,0.935534,0.73509735
70,1.2567732,1.0619056,1.1274879,0.9165002,0.74383926
70.3,1.2465711,1.0665116,1.1295446,0.9216091,0.7283399
70.5,1.2232423,1.0531067,1.1307125,0.8952998,0.715327
70.8,1.1974037,1.0374625,1.1288611,0.88943034,0.705447
71.1,1.2119371,1.0499206,1.100466,0.88402075,0.7084966
71.3,1.2046186,1.0356636,1.135725,0.8890223,0.68243045
71.6,1.2058293,1.026893,1.0932477,0.880306,0.69136286
71.9,1.1881572,1.0377386,1.0796782,0.8686158,0.68229747
72.1,1.1687155,1.0078685,1.0949032,0.8659364,0.6831845
72.4,1.1625861,0.99968046,1.0888478,0.8798631,0.6712583
72.7,1.1836367,0.9987573,1.0659577,0.85990876,0.6579101
72.9,1.1432215,0.9915399,1.0605615,0.85778624,0.6514204
73.2,1.1409754,0.9698645,1.0409467,0.8447774,0.6434595
73.4,1.1349636,0.97424775,1.0468462,0.8613986,0.64181334
73.7,1.1191721,0.96969926,1.0384611,0.8191465,0.63238364
74,1.0955027,0.94905734,1.0334576,0.8134595,0.6280067
74.3,1.0732273,0.929552,1.0207218,0.79605365,0.6160123
74.5,1.0525062,0.9178349,0.99285406,0.7905497,0.5900053
74.8,1.0597914,0.93506515,0.9865624,0.7770518,0.6045343
75,1.0275227,0.90220624,0.9893572,0.78453493,0.58331347
75.3,1.0263764,0.88050807,0.9594541,0.75611573,0.57499576
75.6,1.041494,0.8779115,0.9593459,0.7572223,0.56863636
75.9,1.0015118,0.8798794,0.94281906,0.7393584,0.56266224
76.1,0.99124956,0.85942245,0.9227774,0.73223215,0.5455979
76.4,0.9669083,0.84038234,0.9218546,0.7331364,0.5215479
76.7,0.9229064,0.83957314,0.88607097,0.71030456,0.49825615
76.9,0.9324469,0.82029486,0.876283,0.6668054,0.4772756
77.2,0.9247002,0.7873306,0.8615439,0.6407756,0.47280237
77.5,0.90071905,0.8040757,0.84209317,0.64564747,0.4512696
77.7,0.91310555,0.7648112,0.8191563,0.61150306,0.42884162
78,0.90124774,0.75756615,0.79917943,0.58900565,0.42088065
78.3,0.8903569,0.7586722,0.7815084,0.58975726,0.41915482
78.6,0.87043804,0.7473184,0.7938931,0.5724174,0.4081023
78.8,0.85078573,0.74777955,0.77184665,0.5683027,0.39703336
79.1,0.832571,0.7403254,0.76685023,0.570641,0.405977
79.4,0.82971585,0.7098618,0.74681574,0.5310635,0.37537968
79.6,0.8236309,0.69598335,0.7508507,0.5618995,0.39138854
79.9,0.7898073,0.6750449,0.7347217,0.5464618,0.3771605
80.1,0.79191464,0.6841703,0.72816074,0.5236229,0.37110445
80.4,0.7871159,0.6791965,0.71243846,0.49192527,0.36074978
80.7,0.77658653,0.65105164,0.69286215,0.52395284,0.36265862
81,0.7595505,0.65653026,0.68313,0.5244722,0.35250762
81.3,0.73799616,0.66006744,0.67037743,0.49503025,0.34904945
81.5,0.73232627,0.6312061,0.6735902,0.48141378,0.36203578
81.8,0.7096596,0.6082293,0.6580129,0.5000684,0.32501152
82.1,0.71545756,0.606136,0.6474799,0.47346815,0.33523452
82.3,0.683762,0.60175645,0.64238703,0.47132507,0.319874
82.6,0.6805684,0.6046187,0.62910485,0.46383953,0.30763894
82.9,0.6835227,0.592067,0.6177358,0.44134933,0.3131805
83.1,0.6542654,0.5747862,0.5899623,0.43501627,0.2999834
83.4,0.6321652,0.55124843,0.6012438,0.43191275,0.28497294
83.7,0.6263008,0.5474114,0.5875681,0.40952042,0.265212
84,0.61557585,0.539349,0.561705,0.41301417,0.28271565
84.2,0.6173099,0.54743004,0.56486696,0.3963952,0.26564324
84.5,0.59400064,0.5329216,0.557719,0.41081312,0.2675136
84.8,0.5867606,0.491867,0.5365821,0.38100323,0.27251503
85,0.56081235,0.51115125,0.5218869,0.38218796,0.25892943
85.3,0.5599027,0.48931265,0.49821278,0.35625833,0.23968053
85.6,0.53818375,0.46477446,0.49994054,0.35450158,0.24269257
85.9,0.5245013,0.46381566,0.47632128,0.33893347,0.2321614
86.1,0.4984198,0.43976134,0.47619185,0.33733565,0.22883725
86.4,0.4641656,0.42756045,0.44282144,0.32441315,0.2218461
86.7,0.44512522,0.40519634,0.43379408,0.2817196,0.197124
86.9,0.38691702,0.35401335,0.38491213,0.3034684,0.18683174
87.2,0.26609588,0.26451218,0.32045567,0.24233466,0.17189804
87.5,0.09196176,0.10427073,0.16142005,0.16153307,0.11954478
87.8,0.076717556,0.05759876,0.08567078,0.07963486,0.067495316
88.1,0.058316715,0.07416903,0.085678294,0.08308571,0.047164183
88.3,0.05915279,0.06352321,0.09246618,0.082383886,0.06510747
88.6,0.045470435,0.060884565,0.08078094,0.06653561,0.041448224
88.9,0.045294203,0.053812277,0.09173424,0.064158395,0.055472497
89.1,0.059747037,0.07909243,0.10119119,0.08979808,0.055497907
89.4,0.08188773,0.08440373,0.08199903,0.09691997,0.055068973
89.7,0.05700428,0.061096355,0.06729378,0.062178172,0.03720393
90,0.036813576,0.08718144,0.0728318,0.06441954,0.044225473
90.3,0.055997167,0.06718729,0.079534404,0.07871297,0.05470842
90.5,0.04079219,0.06934441,0.06984029,0.07264237,0.04352258
90.8,0.04723931,0.045288816,0.07791135,0.073766716,0.046872333
91.1,0.047993835,0.084409215,0.06314423,0.088171326,0.055056985
91.4,0.045354504,0.073022515,0.091037765,0.07213748,0.038595054
91.7,0.0393767,0.050569035,0.06835113,0.07822638,0.043188527
91.9,0.036806487,0.055200953,0.058940157,0.06669308,0.041707125
92.2,0.060610443,0.052464113,0.08638598,0.06544098,0.03835597
92.5,0.0590496,0.0631309,0.06609383,0.071777724,0.035661805
92.8,0.04715185,0.047653474,0.0680255,0.07782714,0.05336487
93.1,0.031717997,0.062395476,0.085184865,0.06236941,0.029947018
93.4,0.06586322,0.06476364,0.06707819,0.07044226,0.043581694
93.7,0.055031374,0.060746737,0.08313342,0.07505103,0.04354293
94,0.041615196,0.0650193,0.06486978,0.088151924,0.034803852
94.3,0.046016548,0.04588173,0.0505246,0.06426575,0.035283126
